release_id,table_slug,check_name,severity,detail,observed,expected
wasde-1981-01-15,us_soybeans,use_identity,fail,soybeans/united_states 1980/81 Jan: |-50.0 - -60| > 1.5,-50.0,-60.0
wasde-1981-03-11,us_soybeans,use_identity,fail,soybeans/united_states 1978/79 base: |1856.0 - 1757| > 1.5,1856.0,1757.0
wasde-1981-03-11,us_soybeans,use_identity,fail,soybeans/united_states 1979/80 base: |2083.0 - 1998| > 1.5,2083.0,1998.0
wasde-1981-03-11,us_soybeans,use_identity,fail,soybeans/united_states 1980/81 Feb: |1941.0 - 1850| > 1.5,1941.0,1850.0
wasde-1982-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1980/81 base: |11800.0 - 1043| > 1.5,11800.0,1043.0
wasde-1982-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1981/82 base: |1.0 - 1123| > 1.5,1.0,1123.0
wasde-1982-11-12,us_soybeans,use_identity,fail,soybeans/united_states 1980/81 base: |1833.0 - 1043| > 1.5,1833.0,1043.0
wasde-1982-11-12,us_soybeans,use_identity,fail,soybeans/united_states 1981/82 base: |2050.0 - 1051| > 1.5,2050.0,1051.0
wasde-1982-11-12,us_soybeans,use_identity,fail,soybeans/united_states 1982/83 Nov: |2118.0 - 1108| > 1.5,2118.0,1108.0
wasde-1982-11-12,us_soybeans,use_identity,fail,soybeans/united_states 1982/83 Oct: |2138.0 - 1108| > 1.5,2138.0,1108.0
wasde-1982-12-13,us_corn,ending_identity,fail,feed_grains/united_states 1982/83 Nov: |105.3 - 105.9| > 0.15,105.3,105.90000000000003
wasde-1983-01-24,us_soybeans,use_identity,fail,soybeans/united_states 1982/83 Jan: |2155.0 - 1090| > 1.5,2155.0,1090.0
wasde-1984-04-10,us_soybeans,use_identity,fail,soybeans/united_states 1981/82 base: |2052.0 - 1053| > 1.5,2052.0,1053.0
wasde-1984-04-10,us_soybeans,use_identity,fail,soybeans/united_states 1982/83 base: |2112.0 - 1146| > 1.5,2112.0,1146.0
wasde-1984-04-10,us_soybeans,use_identity,fail,soybeans/united_states 1983/84 Apr: |1833.0 - 1021| > 1.5,1833.0,1021.0
wasde-1984-04-10,us_soybeans,use_identity,fail,soybeans/united_states 1983/84 Mar: |1828.0 - 1031| > 1.5,1828.0,1031.0
wasde-1984-04-24,us_soybeans,use_identity,fail,soybeans/united_states 1981/82 base: |55.8 - 53.3| > 1.5,55.8,53.3
wasde-1984-04-24,us_soybeans,use_identity,fail,soybeans/united_states 1982/83 base: |57.5 - 54.8| > 0.15,57.5,54.8
wasde-1984-04-24,us_soybeans,use_identity,fail,soybeans/united_states 1983/84 Apr: |50.4 - 46.5| > 0.15,50.4,46.5
wasde-1984-04-24,us_soybeans,use_identity,fail,soybeans/united_states 1983/84 Mar: |49.9 - 46.6| > 0.15,49.9,46.6
wasde-1984-08-13,us_soybeans,use_identity,fail,soybeans/united_states 1982/83 base: |11883.0 - 1.278e+04| > 1.5,11883.0,12783.0
wasde-1984-10-12,us_soybeans,use_identity,fail,soybeans/united_states 1984/85 Oct: |1897.0 - 1050| > 1.5,1897.0,1050.0
wasde-1984-10-24,us_soybeans,use_identity,fail,soybeans/united_states 1982/83 base: |57.1 - 54.6| > 0.15,57.1,54.599999999999994
wasde-1984-11-13,us_corn,supply_identity,fail,feed_grains/united_states 1983/84 base: |234.0 - 232.8| > 0.2,234.0,232.79999999999998
wasde-1984-12-11,us_soybeans,use_identity,fail,soybeans/united_states 1982/83 base: |11883.0 - 1.076e+04| > 1.5,11883.0,10763.0
wasde-1984-12-11,us_soybeans,use_identity,fail,soybeans/united_states 1983/84 base: |11412.0 - 1.034e+04| > 1.5,11412.0,10338.0
wasde-1984-12-11,us_soybeans,use_identity,fail,soybeans/united_states 1984/85 Dec: |11200.0 - 1.744e+04| > 1.5,11200.0,17435.0
wasde-1984-12-11,us_soybeans,use_identity,fail,soybeans/united_states 1984/85 Nov: |11200.0 - 8.161e+04| > 1.5,11200.0,81609.0
wasde-1985-06-10,us_soybeans,use_identity,fail,soybeans/united_states 1983/84 base: |1805.0 - 983| > 1,1805.0,983.0
wasde-1985-06-10,us_soybeans,use_identity,fail,soybeans/united_states 1985/86 May: |1780.0 - 1920| > 1,1780.0,1920.0
wasde-1985-11-12,us_corn,use_identity,fail,feed_grains/united_states 1985/86 Oct: |219.9 - 219.4| > 0.15,219.9,219.4
wasde-1985-12-10,us_corn,supply_identity,fail,feed_grains/united_states 1983/84 base: |234.4 - 234.1| > 0.2,234.4,234.1
wasde-1986-01-10,us_corn,use_identity,fail,feed_grains/united_states 1984/85 base: |218.8 - 219.7| > 0.15,218.8,219.70000000000002
wasde-1986-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1984/85 base: |11569.0 - 9917| > 1.5,11569.0,9917.0
wasde-1986-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1985/86 base: |11100.0 - 9850| > 1.5,11100.0,9850.0
wasde-1986-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1986/87 Aug: |11300.0 - 1.01e+04| > 1.5,11300.0,10100.0
wasde-1986-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1986/87 Jul: |11300.0 - 1.01e+04| > 1.5,11300.0,10100.0
wasde-1986-09-11,us_soybeans,use_identity,fail,soybeans/united_states 1984/85 base: |1721.0 - 1062| > 1.5,1721.0,1062.0
wasde-1986-09-11,us_soybeans,use_identity,fail,soybeans/united_states 1985/86 base: |1880.0 - 1080| > 1.5,1880.0,1080.0
wasde-1986-09-11,us_soybeans,use_identity,fail,soybeans/united_states 1986/87 Aug: |1904.0 - 1084| > 1.5,1904.0,1084.0
wasde-1986-11-10,us_soybeans,use_identity,fail,soybeans/united_states 1984/85 base: |1721.0 - 1030| > 1,1721.0,1030.0
wasde-1986-11-10,us_soybeans,use_identity,fail,soybeans/united_states 1985/86 base: |1879.0 - 1053| > 1,1879.0,1053.0
wasde-1986-11-10,us_soybeans,use_identity,fail,soybeans/united_states 1986/87 Nov: |1930.0 - 1080| > 1,1930.0,1080.0
wasde-1986-11-10,us_soybeans,use_identity,fail,soybeans/united_states 1986/87 Oct: |1928.0 - 1073| > 1,1928.0,1073.0
wasde-1987-08-11,us_soybeans,use_identity,fail,soybeans/united_states 1985/86 base: |1879.0 - 1793| > 1.5,1879.0,1793.0
wasde-1987-08-11,us_soybeans,use_identity,fail,soybeans/united_states 1987/88 Jul: |1915.0 - 1825| > 1.5,1915.0,1825.0
wasde-1992-05-11,us_soybeans,use_identity,fail,soybeans/united_states 1990/91 base: |1838.0 - 1226| > 1.5,1838.0,1226.0
wasde-1992-05-11,us_soybeans,use_identity,fail,soybeans/united_states 1991/92 base: |2025.0 - 1282| > 1.5,2025.0,1282.0
wasde-1992-05-11,us_soybeans,use_identity,fail,soybeans/united_states 1992/93 May: |1980.0 - 1275| > 1.5,1980.0,1275.0
wasde-1992-06-10,us_soybeans,use_identity,fail,soybeans/united_states 1990/91 base: |1838.0 - 1187| > 1,1838.0,1187.0
wasde-1992-06-10,us_soybeans,use_identity,fail,soybeans/united_states 1991/92 base: |2020.0 - 1235| > 1,2020.0,1235.0
wasde-1992-06-10,us_soybeans,use_identity,fail,soybeans/united_states 1992/93 Jun: |1980.0 - 1235| > 1,1980.0,1235.0
wasde-1992-06-10,us_soybeans,use_identity,fail,soybeans/united_states 1992/93 May: |1980.0 - 1235| > 1,1980.0,1235.0
wasde-1992-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1990/91 base: |1839.0 - 1744| > 1.5,1839.0,1744.0
wasde-1992-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1991/92 base: |2035.0 - 1940| > 1.5,2035.0,1940.0
wasde-1992-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1992/93 Aug: |2049.0 - 1955| > 1.5,2049.0,1955.0
wasde-1992-08-12,us_soybeans,use_identity,fail,soybeans/united_states 1992/93 Jul: |2005.0 - 1910| > 1.5,2005.0,1910.0
wasde-1994-01-12,us_soybeans,use_identity,fail,soybeans/united_states 1991/92 base: |2041.0 - 1309| > 1.5,2041.0,1309.0
wasde-1994-01-12,us_soybeans,use_identity,fail,soybeans/united_states 1992/93 base: |2176.0 - 1343| > 1.5,2176.0,1343.0
wasde-1994-01-12,us_soybeans,use_identity,fail,soybeans/united_states 1993/94 Dec: |1966.0 - 1295| > 1.5,1966.0,1295.0
wasde-1994-01-12,us_soybeans,use_identity,fail,soybeans/united_states 1993/94 Jan: |1956.0 - 1295| > 1.5,1956.0,1295.0
wasde-1994-07-12,us_soybeans,use_identity,fail,soybeans/united_states 1992/93 base: |2176.0 - 1343| > 1.5,2176.0,1343.0
wasde-1994-07-12,us_soybeans,use_identity,fail,soybeans/united_states 1993/94 base: |1936.0 - 1326| > 1.5,1936.0,1326.0
wasde-1994-07-12,us_soybeans,use_identity,fail,soybeans/united_states 1994/95 Jul: |2030.0 - 1363| > 1.5,2030.0,1363.0
wasde-1994-07-12,us_soybeans,use_identity,fail,soybeans/united_states 1994/95 Jun: |2000.0 - 1348| > 1.5,2000.0,1348.0
wasde-1994-10-12,us_soybeans,use_identity,fail,soybeans/united_states 1992/93 base: |2176.0 - 1343| > 1.5,2176.0,1343.0
wasde-1994-10-12,us_soybeans,use_identity,fail,soybeans/united_states 1993/94 base: |1958.0 - 1339| > 1.5,1958.0,1339.0
wasde-1994-10-12,us_soybeans,use_identity,fail,soybeans/united_states 1994/95 Oct: |2207.0 - 1414| > 1.5,2207.0,1414.0
wasde-1994-10-12,us_soybeans,use_identity,fail,soybeans/united_states 1994/95 Sep: |2101.0 - 1378| > 1.5,2101.0,1378.0
